"id","stat_need","stat_need_selfenter","need_freq","help_extent","support_difficulty","find_difficulty"
1,"Preparation of Statistical Grant Materials","","Sometimes","Moderately help","Possible","Not hard"
1,"Model Selection and Specification","","Rarely","Slightly help","Possible","Possible"
1,"Data Visualization","","Sometimes","Unspecified","Possible","Not hard"
2,"Preparation of Statistical Grant Materials","","Rarely","Slightly help","Possible","Not hard"
2,"Data Visualization","","Unspecified","Not at all","Possible","Possible"
3,"Coding/Software Help","","Sometimes","Slightly help","Possible","Possible"
3,"Other","","Sometimes","Moderately help","Very hard","Not hard"
4,"Research Design","","Unspecified","Unspecified","Unspecified","Unspecified"
4,"Preparing the Raw Data for Analysis","","Rarely","Not at all","Possible","Possible"
4,"Coding/Software Help","","Rarely","Slightly help","Very hard","Possible"
4,"Data Visualization","","Unspecified","Moderately help","Possible","Possible"
5,"Preparing the Raw Data for Analysis","","Sometimes","Not at all","Not hard","Possible"
5,"Model Interpretation","","Sometimes","Not at all","Not hard","Possible"
5,"Data Visualization","","Often","Critical to research","Very hard","Very hard"
6,"Preparing the Raw Data for Analysis","","Sometimes","Not at all","Possible","Not hard"
6,"Data Visualization","","Sometimes","Slightly help","Possible","Possible"
7,"Preparing the Raw Data for Analysis","","Sometimes","Slightly help","Unspecified","Not hard"
7,"Data Visualization","","Rarely","Moderately help","Not hard","Very hard"
8,"Preparation of Statistical Grant Materials","","Rarely","Not at all","Very hard","Not hard"
8,"Coding/Software Help","","Sometimes","Not at all","Possible","Very hard"
8,"Model Interpretation","","Often","Slightly help","Possible","Very hard"
9,"Preparing the Raw Data for Analysis","","Rarely","Moderately help","Not hard","Very hard"
9,"Model Interpretation","","Unspecified","Unspecified","Unspecified","Possible"
10,"Preparation of Statistical Grant Materials","","Often","Critical to research","Very hard","Not hard"
11,"Preparation of Statistical Grant Materials","","Often","Not at all","Possible","Very hard"
11,"Preparing the Raw Data for Analysis","","Rarely","Not at all","Possible","Not hard"
12,"Model Interpretation","","Not at all","Slightly help","Very hard","Possible"
13,"Data Visualization","","Not at all","Slightly help","Possible","Possible"
15,"Model Interpretation","","Sometimes","Greatly help","Possible","Very hard"
16,"Other","otherstat","Sometimes","Moderately help","Not hard","Possible"
17,"Research Design","","Often","Greatly help","Possible","Very hard"
17,"Preparing the Raw Data for Analysis","","Sometimes","Greatly help","Not hard","Possible"
17,"Model Selection and Specification","","Often","Not at all","Very hard","Possible"
18,"Model Selection and Specification","","Often","Slightly help","Possible","Not hard"
18,"Data Visualization","","Often","Critical to research","Very hard","Very hard"
19,"Research Design","","Rarely","Moderately help","Very hard","Possible"
19,"Preparation of Statistical Grant Materials","","Rarely","Slightly help","Very hard","Very hard"
19,"Preparing the Raw Data for Analysis","","Often","Greatly help","Very hard","Not hard"
19,"Model Selection and Specification","","Sometimes","Critical to research","Very hard","Possible"
19,"Coding/Software Help","","Often","Moderately help","Very hard","Not hard"
19,"Model Interpretation","","Often","Greatly help","Very hard","Not hard"
19,"Data Visualization","","Often","Greatly help","Very hard","Possible"
20,"Preparation of Statistical Grant Materials","","Sometimes","Moderately help","Possible","Possible"
20,"Preparing the Raw Data for Analysis","","Sometimes","Greatly help","Possible","Possible"
20,"Data Visualization","","Often","Greatly help","Not hard","Not hard"
21,"Research Design","","Often","Greatly help","Not hard","Possible"
21,"Preparing the Raw Data for Analysis","","Not at all","Not at all","Very hard","Very hard"
21,"Coding/Software Help","","Often","Critical to research","Possible","Not hard"
22,"Preparation of Statistical Grant Materials","","Sometimes","Greatly help","Not hard","Very hard"
22,"Data Visualization","","Sometimes","Greatly help","Possible","Very hard"
23,"Preparation of Statistical Grant Materials","","Sometimes","Unspecified","Unspecified","Not hard"
23,"Model Interpretation","","Sometimes","Moderately help","Possible","Possible"
